track_album_name,instrumentalness,tempo,id,speechiness,track_name,playlist_id,valence,type,playlist_genre,track_album_id,loudness,danceability,track_album_release_date,analysis_url,track_popularity,track_id,track_href,liveness,time_signature,playlist_subgenre,uri,track_artist,playlist_name,key,mode,duration_ms,acousticness,energy
Inside Betty Carter,0.000134,113.713,6Kr25pa3pTd4no3yA0EcW1,0.0359,This Is Always,37i9dQZF1DXbITWG1ZJKYt,0.138,audio_features,jazz,3rFnwsVrrSYZQsCGTkOT7W,-19.687,0.417,1993-08-02,https://api.spotify.com/v1/audio-analysis/6Kr25pa3pTd4no3yA0EcW1,48,6Kr25pa3pTd4no3yA0EcW1,https://api.spotify.com/v1/tracks/6Kr25pa3pTd4no3yA0EcW1,0.126,4,classic,spotify:track:6Kr25pa3pTd4no3yA0EcW1,Betty Carter,Jazz Classics,4,0,191960,0.971,0.0644
Piano Book (Deluxe Edition),0.896,133.998,4SFBV7SRNG2e2kyL1F6kjU,0.0446,"The Well-Tempered Clavier, Book 1, BWV 846-869 / Prelude & Fugue in C Major, BWV 846: I. Prelude",37i9dQZF1DWWEJlAGA9gs0,0.216,audio_features,classical,1XORY4rQNhqkZxTze6Px90,-25.427,0.234,2019-03-29,https://api.spotify.com/v1/audio-analysis/4SFBV7SRNG2e2kyL1F6kjU,60,4SFBV7SRNG2e2kyL1F6kjU,https://api.spotify.com/v1/tracks/4SFBV7SRNG2e2kyL1F6kjU,0.102,4,essential,spotify:track:4SFBV7SRNG2e2kyL1F6kjU,"Johann Sebastian Bach, Lang Lang",Classical Essentials,0,1,139307,0.989,0.126
"Für Elise, Bagatelle No. 25 in A Minor, WoO 59",0.911,125.61,3zLTPuucd3e6TxZnu2dlVS,0.0446,"Bagatelle No. 25 in A Minor, WoO 59 ""Für Elise""",37i9dQZF1DWWEJlAGA9gs0,0.118,audio_features,classical,230jpjk9w7MGupNMMvXoaN,-30.79,0.289,2015,https://api.spotify.com/v1/audio-analysis/3zLTPuucd3e6TxZnu2dlVS,63,3zLTPuucd3e6TxZnu2dlVS,https://api.spotify.com/v1/tracks/3zLTPuucd3e6TxZnu2dlVS,0.102,3,essential,spotify:track:3zLTPuucd3e6TxZnu2dlVS,"Ludwig van Beethoven, Igor Levit",Classical Essentials,9,0,212067,0.987,0.0306
Songs from the Arc of Life,0.86,128.143,0jOnZhF75V68VsBObWx2XO,0.0442,"The Carnival of the Animals, R. 125: XIII. The Swan (Arr. for Cello and Piano)",37i9dQZF1DWWEJlAGA9gs0,0.0573,audio_features,classical,2y85NsbsBnGTXcXgHpj3PD,-31.034,0.169,2015-09-18,https://api.spotify.com/v1/audio-analysis/0jOnZhF75V68VsBObWx2XO,65,0jOnZhF75V68VsBObWx2XO,https://api.spotify.com/v1/tracks/0jOnZhF75V68VsBObWx2XO,0.0805,3,essential,spotify:track:0jOnZhF75V68VsBObWx2XO,"Camille Saint-Saëns, Yo-Yo Ma, Kathryn Stott",Classical Essentials,9,0,174267,0.986,0.0161
Handel Sarabande,0.83,67.359,1upQiytDIEZfl9ItruoXuC,0.0606,"Handel / Orch. Hale: Keyboard Suite No. 4 in D Minor, HWV 437: III. Sarabande",37i9dQZF1DWWEJlAGA9gs0,0.0516,audio_features,classical,657D9POYWMrDMK9MWNxPHL,-24.041,0.0939,2002,https://api.spotify.com/v1/audio-analysis/1upQiytDIEZfl9ItruoXuC,63,1upQiytDIEZfl9ItruoXuC,https://api.spotify.com/v1/tracks/1upQiytDIEZfl9ItruoXuC,0.0954,3,essential,spotify:track:1upQiytDIEZfl9ItruoXuC,"George Frideric Handel, Alexander Briger, Academy of St. Martin in the Fields",Classical Essentials,2,0,207267,0.927,0.0336
"Debussy: Suite bergamasque, L. 75, 3. Clair de lune",0.919,68.947,1cmigB9I6IRpFqjIbzvSQB,0.0455,"Suite bergamasque, L. 75: III. Clair de lune",37i9dQZF1DWWEJlAGA9gs0,0.0383,audio_features,classical,4Ll3RGpn0eVY6MMKPTP99C,-33.366,0.32,2018-07-27,https://api.spotify.com/v1/audio-analysis/1cmigB9I6IRpFqjIbzvSQB,65,1cmigB9I6IRpFqjIbzvSQB,https://api.spotify.com/v1/tracks/1cmigB9I6IRpFqjIbzvSQB,0.0618,5,essential,spotify:track:1cmigB9I6IRpFqjIbzvSQB,"Claude Debussy, Alice Sara Ott",Classical Essentials,1,1,294960,0.993,0.00501
Gnossienne No. 1,0.944,71.827,5fdp9rXfEixCGLM1Og4EN1,0.0576,Gnossienne No. 1,37i9dQZF1DWWEJlAGA9gs0,0.0369,audio_features,classical,4ZWDD7tNRRMB2eO4B5LsJh,-31.615,0.376,2013,https://api.spotify.com/v1/audio-analysis/5fdp9rXfEixCGLM1Og4EN1,62,5fdp9rXfEixCGLM1Og4EN1,https://api.spotify.com/v1/tracks/5fdp9rXfEixCGLM1Og4EN1,0.0882,4,essential,spotify:track:5fdp9rXfEixCGLM1Og4EN1,"Erik Satie, Alena Cherny",Classical Essentials,5,0,296480,0.996,0.00579
"I don't like classical music, but I really like this!",0.175,90.072,1n9741DApqn5gvuxhgerCt,0.0341,Tales of Hoffmann: Barcarolle,37i9dQZF1DWWEJlAGA9gs0,0.134,audio_features,classical,72eREPpDWnlR5o2hUExugS,-15.549,0.168,2014-06-13,https://api.spotify.com/v1/audio-analysis/1n9741DApqn5gvuxhgerCt,51,1n9741DApqn5gvuxhgerCt,https://api.spotify.com/v1/tracks/1n9741DApqn5gvuxhgerCt,0.384,4,essential,spotify:track:1n9741DApqn5gvuxhgerCt,"Jacques Offenbach, Arthur Fiedler, Boston Pops Orchestra",Classical Essentials,2,1,215240,0.932,0.256
Mahler: Symphony No. 5,0.945,82.015,0cqcRqZgkNHanWQ8slYA0v,0.0471,Mahler: Symphony No. 5 in C-Sharp Minor: IV. Adagietto. Sehr langsam,37i9dQZF1DWWEJlAGA9gs0,0.0327,audio_features,classical,2xhhbZySK489esUAtrs65j,-23.247,0.0783,1998-08-14,https://api.spotify.com/v1/audio-analysis/0cqcRqZgkNHanWQ8slYA0v,55,0cqcRqZgkNHanWQ8slYA0v,https://api.spotify.com/v1/tracks/0cqcRqZgkNHanWQ8slYA0v,0.0806,4,essential,spotify:track:0cqcRqZgkNHanWQ8slYA0v,"Gustav Mahler, Daniel Barenboim, Chicago Symphony Orchestra",Classical Essentials,5,1,583293,0.896,0.0523
Aranjuez,0.862,84.865,0k6P9cdEA9K3k0ASde2Kof,0.0437,Rodrigo: Concierto de Aranjuez: II. Adagio,37i9dQZF1DWWEJlAGA9gs0,0.062,audio_features,classical,2K6XjvDKO2HTCDqGZkph9e,-19.878,0.253,2020-10-02,https://api.spotify.com/v1/audio-analysis/0k6P9cdEA9K3k0ASde2Kof,53,0k6P9cdEA9K3k0ASde2Kof,https://api.spotify.com/v1/tracks/0k6P9cdEA9K3k0ASde2Kof,0.122,4,essential,spotify:track:0k6P9cdEA9K3k0ASde2Kof,"Joaquín Rodrigo, Thibaut García, Ben Glassberg, Orchestre National Du Capitole De Toulouse",Classical Essentials,11,0,640267,0.93,0.098
