loudness,track_album_name,uri,analysis_url,id,time_signature,mode,track_name,speechiness,playlist_id,danceability,playlist_genre,track_id,track_album_release_date,duration_ms,acousticness,track_artist,energy,tempo,instrumentalness,playlist_subgenre,type,track_href,key,track_album_id,playlist_name,liveness,valence,track_popularity
-30.79,"Für Elise, Bagatelle No. 25 in A Minor, WoO 59",spotify:track:3zLTPuucd3e6TxZnu2dlVS,https://api.spotify.com/v1/audio-analysis/3zLTPuucd3e6TxZnu2dlVS,3zLTPuucd3e6TxZnu2dlVS,3,0,"Bagatelle No. 25 in A Minor, WoO 59 ""Für Elise""",0.0446,37i9dQZF1DWWEJlAGA9gs0,0.289,classical,3zLTPuucd3e6TxZnu2dlVS,2015,212067,0.987,"Ludwig van Beethoven, Igor Levit",0.0306,125.61,0.911,essential,audio_features,https://api.spotify.com/v1/tracks/3zLTPuucd3e6TxZnu2dlVS,9,230jpjk9w7MGupNMMvXoaN,Classical Essentials,0.102,0.118,63
-31.034,Songs from the Arc of Life,spotify:track:0jOnZhF75V68VsBObWx2XO,https://api.spotify.com/v1/audio-analysis/0jOnZhF75V68VsBObWx2XO,0jOnZhF75V68VsBObWx2XO,3,0,"The Carnival of the Animals, R. 125: XIII. The Swan (Arr. for Cello and Piano)",0.0442,37i9dQZF1DWWEJlAGA9gs0,0.169,classical,0jOnZhF75V68VsBObWx2XO,2015-09-18,174267,0.986,"Camille Saint-Saëns, Yo-Yo Ma, Kathryn Stott",0.0161,128.143,0.86,essential,audio_features,https://api.spotify.com/v1/tracks/0jOnZhF75V68VsBObWx2XO,9,2y85NsbsBnGTXcXgHpj3PD,Classical Essentials,0.0805,0.0573,65
-24.041,Handel Sarabande,spotify:track:1upQiytDIEZfl9ItruoXuC,https://api.spotify.com/v1/audio-analysis/1upQiytDIEZfl9ItruoXuC,1upQiytDIEZfl9ItruoXuC,3,0,"Handel / Orch. Hale: Keyboard Suite No. 4 in D Minor, HWV 437: III. Sarabande",0.0606,37i9dQZF1DWWEJlAGA9gs0,0.0939,classical,1upQiytDIEZfl9ItruoXuC,2002,207267,0.927,"George Frideric Handel, Alexander Briger, Academy of St. Martin in the Fields",0.0336,67.359,0.83,essential,audio_features,https://api.spotify.com/v1/tracks/1upQiytDIEZfl9ItruoXuC,2,657D9POYWMrDMK9MWNxPHL,Classical Essentials,0.0954,0.0516,63
-33.366,"Debussy: Suite bergamasque, L. 75, 3. Clair de lune",spotify:track:1cmigB9I6IRpFqjIbzvSQB,https://api.spotify.com/v1/audio-analysis/1cmigB9I6IRpFqjIbzvSQB,1cmigB9I6IRpFqjIbzvSQB,5,1,"Suite bergamasque, L. 75: III. Clair de lune",0.0455,37i9dQZF1DWWEJlAGA9gs0,0.32,classical,1cmigB9I6IRpFqjIbzvSQB,2018-07-27,294960,0.993,"Claude Debussy, Alice Sara Ott",0.00501,68.947,0.919,essential,audio_features,https://api.spotify.com/v1/tracks/1cmigB9I6IRpFqjIbzvSQB,1,4Ll3RGpn0eVY6MMKPTP99C,Classical Essentials,0.0618,0.0383,65
-31.615,Gnossienne No. 1,spotify:track:5fdp9rXfEixCGLM1Og4EN1,https://api.spotify.com/v1/audio-analysis/5fdp9rXfEixCGLM1Og4EN1,5fdp9rXfEixCGLM1Og4EN1,4,0,Gnossienne No. 1,0.0576,37i9dQZF1DWWEJlAGA9gs0,0.376,classical,5fdp9rXfEixCGLM1Og4EN1,2013,296480,0.996,"Erik Satie, Alena Cherny",0.00579,71.827,0.944,essential,audio_features,https://api.spotify.com/v1/tracks/5fdp9rXfEixCGLM1Og4EN1,5,4ZWDD7tNRRMB2eO4B5LsJh,Classical Essentials,0.0882,0.0369,62
-15.549,"I don't like classical music, but I really like this!",spotify:track:1n9741DApqn5gvuxhgerCt,https://api.spotify.com/v1/audio-analysis/1n9741DApqn5gvuxhgerCt,1n9741DApqn5gvuxhgerCt,4,1,Tales of Hoffmann: Barcarolle,0.0341,37i9dQZF1DWWEJlAGA9gs0,0.168,classical,1n9741DApqn5gvuxhgerCt,2014-06-13,215240,0.932,"Jacques Offenbach, Arthur Fiedler, Boston Pops Orchestra",0.256,90.072,0.175,essential,audio_features,https://api.spotify.com/v1/tracks/1n9741DApqn5gvuxhgerCt,2,72eREPpDWnlR5o2hUExugS,Classical Essentials,0.384,0.134,51
-23.247,Mahler: Symphony No. 5,spotify:track:0cqcRqZgkNHanWQ8slYA0v,https://api.spotify.com/v1/audio-analysis/0cqcRqZgkNHanWQ8slYA0v,0cqcRqZgkNHanWQ8slYA0v,4,1,Mahler: Symphony No. 5 in C-Sharp Minor: IV. Adagietto. Sehr langsam,0.0471,37i9dQZF1DWWEJlAGA9gs0,0.0783,classical,0cqcRqZgkNHanWQ8slYA0v,1998-08-14,583293,0.896,"Gustav Mahler, Daniel Barenboim, Chicago Symphony Orchestra",0.0523,82.015,0.945,essential,audio_features,https://api.spotify.com/v1/tracks/0cqcRqZgkNHanWQ8slYA0v,5,2xhhbZySK489esUAtrs65j,Classical Essentials,0.0806,0.0327,55
-19.878,Aranjuez,spotify:track:0k6P9cdEA9K3k0ASde2Kof,https://api.spotify.com/v1/audio-analysis/0k6P9cdEA9K3k0ASde2Kof,0k6P9cdEA9K3k0ASde2Kof,4,0,Rodrigo: Concierto de Aranjuez: II. Adagio,0.0437,37i9dQZF1DWWEJlAGA9gs0,0.253,classical,0k6P9cdEA9K3k0ASde2Kof,2020-10-02,640267,0.93,"Joaquín Rodrigo, Thibaut García, Ben Glassberg, Orchestre National Du Capitole De Toulouse",0.098,84.865,0.862,essential,audio_features,https://api.spotify.com/v1/tracks/0k6P9cdEA9K3k0ASde2Kof,11,2K6XjvDKO2HTCDqGZkph9e,Classical Essentials,0.122,0.062,53
-24.877,Rachmaninov: Piano Concerto No.2,spotify:track:4rrrn8OLrttq7r9RgNXalU,https://api.spotify.com/v1/audio-analysis/4rrrn8OLrttq7r9RgNXalU,4rrrn8OLrttq7r9RgNXalU,4,1,"Piano Concerto No. 2 in C Minor, Op. 18: 2. Adagio sostenuto",0.0366,37i9dQZF1DWWEJlAGA9gs0,0.194,classical,4rrrn8OLrttq7r9RgNXalU,2012-01-01,644273,0.983,"Sergei Rachmaninoff, Valentina Lisitsa, London Symphony Orchestra, Michael Francis",0.0545,140.966,0.945,essential,audio_features,https://api.spotify.com/v1/tracks/4rrrn8OLrttq7r9RgNXalU,4,5lVqgXqdoIH3W1wUM2hzPx,Classical Essentials,0.0551,0.0385,60
-28.293,Liszt,spotify:track:3GecLjGMqzjmgkvy2v41Wf,https://api.spotify.com/v1/audio-analysis/3GecLjGMqzjmgkvy2v41Wf,3GecLjGMqzjmgkvy2v41Wf,1,1,"Ständchen in D Minor (After Schubert), S. 560",0.0388,37i9dQZF1DWWEJlAGA9gs0,0.341,classical,3GecLjGMqzjmgkvy2v41Wf,2011-08-23,357747,0.993,"Franz Liszt, Lise de la Salle",0.0142,76.382,0.921,essential,audio_features,https://api.spotify.com/v1/tracks/3GecLjGMqzjmgkvy2v41Wf,2,12TLeKJv0q5fnF2obaf6Is,Classical Essentials,0.113,0.0384,53
-26.804,Liszt - My Piano Hero,spotify:track:2u9VGZmVz7Rm01SfDgzcfA,https://api.spotify.com/v1/audio-analysis/2u9VGZmVz7Rm01SfDgzcfA,2u9VGZmVz7Rm01SfDgzcfA,3,1,"Liebestraum No. 3 in A-Flat Major, S. 541 / 3",0.0406,37i9dQZF1DWWEJlAGA9gs0,0.279,classical,2u9VGZmVz7Rm01SfDgzcfA,2011-07-25,293147,0.987,"Franz Liszt, Lang Lang",0.0292,136.732,0.902,essential,audio_features,https://api.spotify.com/v1/tracks/2u9VGZmVz7Rm01SfDgzcfA,8,39Hh5k01di42nUCLn8Wxqu,Classical Essentials,0.104,0.0338,60
