key,track_artist,energy,track_id,liveness,speechiness,track_popularity,playlist_subgenre,time_signature,track_href,valence,id,track_album_release_date,uri,danceability,tempo,playlist_name,track_album_name,duration_ms,analysis_url,instrumentalness,type,track_album_id,playlist_genre,track_name,playlist_id,acousticness,loudness,mode
11,"Joaquín Rodrigo, Thibaut García, Ben Glassberg, Orchestre National Du Capitole De Toulouse",0.098,0k6P9cdEA9K3k0ASde2Kof,0.122,0.0437,53,essential,4,https://api.spotify.com/v1/tracks/0k6P9cdEA9K3k0ASde2Kof,0.062,0k6P9cdEA9K3k0ASde2Kof,2020-10-02,spotify:track:0k6P9cdEA9K3k0ASde2Kof,0.253,84.865,Classical Essentials,Aranjuez,640267,https://api.spotify.com/v1/audio-analysis/0k6P9cdEA9K3k0ASde2Kof,0.862,audio_features,2K6XjvDKO2HTCDqGZkph9e,classical,Rodrigo: Concierto de Aranjuez: II. Adagio,37i9dQZF1DWWEJlAGA9gs0,0.93,-19.878,0
4,"Sergei Rachmaninoff, Valentina Lisitsa, London Symphony Orchestra, Michael Francis",0.0545,4rrrn8OLrttq7r9RgNXalU,0.0551,0.0366,60,essential,4,https://api.spotify.com/v1/tracks/4rrrn8OLrttq7r9RgNXalU,0.0385,4rrrn8OLrttq7r9RgNXalU,2012-01-01,spotify:track:4rrrn8OLrttq7r9RgNXalU,0.194,140.966,Classical Essentials,Rachmaninov: Piano Concerto No.2,644273,https://api.spotify.com/v1/audio-analysis/4rrrn8OLrttq7r9RgNXalU,0.945,audio_features,5lVqgXqdoIH3W1wUM2hzPx,classical,"Piano Concerto No. 2 in C Minor, Op. 18: 2. Adagio sostenuto",37i9dQZF1DWWEJlAGA9gs0,0.983,-24.877,1
2,"Franz Liszt, Lise de la Salle",0.0142,3GecLjGMqzjmgkvy2v41Wf,0.113,0.0388,53,essential,1,https://api.spotify.com/v1/tracks/3GecLjGMqzjmgkvy2v41Wf,0.0384,3GecLjGMqzjmgkvy2v41Wf,2011-08-23,spotify:track:3GecLjGMqzjmgkvy2v41Wf,0.341,76.382,Classical Essentials,Liszt,357747,https://api.spotify.com/v1/audio-analysis/3GecLjGMqzjmgkvy2v41Wf,0.921,audio_features,12TLeKJv0q5fnF2obaf6Is,classical,"Ständchen in D Minor (After Schubert), S. 560",37i9dQZF1DWWEJlAGA9gs0,0.993,-28.293,1
8,"Franz Liszt, Lang Lang",0.0292,2u9VGZmVz7Rm01SfDgzcfA,0.104,0.0406,60,essential,3,https://api.spotify.com/v1/tracks/2u9VGZmVz7Rm01SfDgzcfA,0.0338,2u9VGZmVz7Rm01SfDgzcfA,2011-07-25,spotify:track:2u9VGZmVz7Rm01SfDgzcfA,0.279,136.732,Classical Essentials,Liszt - My Piano Hero,293147,https://api.spotify.com/v1/audio-analysis/2u9VGZmVz7Rm01SfDgzcfA,0.902,audio_features,39Hh5k01di42nUCLn8Wxqu,classical,"Liebestraum No. 3 in A-Flat Major, S. 541 / 3",37i9dQZF1DWWEJlAGA9gs0,0.987,-26.804,1
2,"Karl Jenkins, Carmine Lauri, David Alberman, London Symphony Orchestra",0.339,4FycxLfl7H5CQnqw9J6LXZ,0.102,0.0419,58,essential,4,https://api.spotify.com/v1/tracks/4FycxLfl7H5CQnqw9J6LXZ,0.0719,4FycxLfl7H5CQnqw9J6LXZ,2008,spotify:track:4FycxLfl7H5CQnqw9J6LXZ,0.53,90.041,Classical Essentials,Quirk,226880,https://api.spotify.com/v1/audio-analysis/4FycxLfl7H5CQnqw9J6LXZ,0.874,audio_features,1EICPBWv4fDj3sy3vn6p0y,classical,Palladio: 1. Allegretto (arr. for Strings Orchestra),37i9dQZF1DWWEJlAGA9gs0,0.567,-16.973,0
1,"Ludwig van Beethoven, Paul Lewis",0.00527,3DNRdudZ2SstnDCVKFdXxG,0.173,0.0432,68,essential,3,https://api.spotify.com/v1/tracks/3DNRdudZ2SstnDCVKFdXxG,0.151,3DNRdudZ2SstnDCVKFdXxG,2007-09-25,spotify:track:3DNRdudZ2SstnDCVKFdXxG,0.184,170.612,Classical Essentials,"Beethoven: Piano Sonatas, Vol.3",315427,https://api.spotify.com/v1/audio-analysis/3DNRdudZ2SstnDCVKFdXxG,0.887,audio_features,4bNwPPpk01D8pVV9IFSBde,classical,"Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto",37i9dQZF1DWWEJlAGA9gs0,0.995,-37.264,0
7,"Wolfgang Amadeus Mozart, Andrew Watkinson",0.139,2mRUmSG3XGjFloqgAT2UJN,0.0725,0.039,49,essential,4,https://api.spotify.com/v1/tracks/2mRUmSG3XGjFloqgAT2UJN,0.31,2mRUmSG3XGjFloqgAT2UJN,1998,spotify:track:2mRUmSG3XGjFloqgAT2UJN,0.366,139.478,Classical Essentials,Mozart: Eine Kleine Nachtmusik,352000,https://api.spotify.com/v1/audio-analysis/2mRUmSG3XGjFloqgAT2UJN,0.913,audio_features,4XtXDGPvBn9DMDWuqZ0uX9,classical,Eine kleine Nachtmusik K. 525: Allegro,37i9dQZF1DWWEJlAGA9gs0,0.885,-19.978,1
11,"Nikolai Rimsky-Korsakov, Lars Hjalmar Joakim",0.0639,04eShjKTWijeJJqGnhxpYK,0.466,0.049,57,essential,3,https://api.spotify.com/v1/tracks/04eShjKTWijeJJqGnhxpYK,0.0781,04eShjKTWijeJJqGnhxpYK,1999-02-01,spotify:track:04eShjKTWijeJJqGnhxpYK,0.235,120.736,Classical Essentials,Rimsky-Korsakov: Scheherezade,200360,https://api.spotify.com/v1/audio-analysis/04eShjKTWijeJJqGnhxpYK,0.603,audio_features,3QXtNXmOyrOfZ2mWG4rw9v,classical,Scheherazade: The Tale of the Kalendar Prince,37i9dQZF1DWWEJlAGA9gs0,0.962,-24.404,0
1,"Frédéric Chopin, Mikhail Pletnev",0.0047,2MSgFefjK0T7Iwjvr3OKqV,0.0722,0.0509,65,essential,4,https://api.spotify.com/v1/tracks/2MSgFefjK0T7Iwjvr3OKqV,0.186,2MSgFefjK0T7Iwjvr3OKqV,2000-01-01,spotify:track:2MSgFefjK0T7Iwjvr3OKqV,0.225,163.665,Classical Essentials,"Chopin: Piano Sonata No. 2, Nocturnes, Barcarolle & Scherzo",259493,https://api.spotify.com/v1/audio-analysis/2MSgFefjK0T7Iwjvr3OKqV,0.881,audio_features,3hW1TEeZRJ01XycQFABjj9,classical,"Chopin: Nocturne No. 20 in C-Sharp Minor, Op. Posth.",37i9dQZF1DWWEJlAGA9gs0,0.992,-30.928,0
0,"Sergei Prokofiev, Behzod Abduraimov, Orchestra Sinfonica Nazionale Della RAI, Juraj Valcuha",0.254,3QqPgzOcv9titKufFR0gsQ,0.0843,0.0349,44,essential,4,https://api.spotify.com/v1/tracks/3QqPgzOcv9titKufFR0gsQ,0.0986,3QqPgzOcv9titKufFR0gsQ,2014-01-01,spotify:track:3QqPgzOcv9titKufFR0gsQ,0.353,133.808,Classical Essentials,Tchaikovsky: Piano Concerto No.1; Prokofiev: Piano Concerto No.3,564640,https://api.spotify.com/v1/audio-analysis/3QqPgzOcv9titKufFR0gsQ,0.859,audio_features,5hOFetItodSTqXX2uKz5Pa,classical,"Piano Concerto No. 3 in C, Op. 26: 1. Andante - Allegro",37i9dQZF1DWWEJlAGA9gs0,0.948,-16.205,1
1,"George Frideric Handel, Trevor Pinnock, The English Concert, Simon Preston, The Choir Of Westminster Abbey",0.178,30bQxViotttoZ7x2iUP2L9,0.0754,0.0389,47,essential,4,https://api.spotify.com/v1/tracks/30bQxViotttoZ7x2iUP2L9,0.148,30bQxViotttoZ7x2iUP2L9,1995-01-01,spotify:track:30bQxViotttoZ7x2iUP2L9,0.374,95.839,Classical Essentials,Handel: Coronation Anthems; Concerti a Due Cori,323427,https://api.spotify.com/v1/audio-analysis/30bQxViotttoZ7x2iUP2L9,0.0235,audio_features,7Gi7VwRTgcVL9jKilHtztX,classical,"Zadok the Priest (Coronation Anthem No. 1, HWV 258)",37i9dQZF1DWWEJlAGA9gs0,0.92,-15.758,1
1,"Max Richter, Daniel Hope, Konzerthaus Kammerorchester Berlin, Andre de Ridder",0.341,5xbuJuQsTVheVZvX2AJVIv,0.359,0.0418,62,essential,3,https://api.spotify.com/v1/tracks/5xbuJuQsTVheVZvX2AJVIv,0.163,5xbuJuQsTVheVZvX2AJVIv,2014-01-01,spotify:track:5xbuJuQsTVheVZvX2AJVIv,0.701,105.513,Classical Essentials,"Recomposed By Max Richter: Vivaldi, The Four Seasons",151507,https://api.spotify.com/v1/audio-analysis/5xbuJuQsTVheVZvX2AJVIv,0.903,audio_features,5yuG2LEkf7QA9ZGIXldCmy,classical,Spring 1 - 2012,37i9dQZF1DWWEJlAGA9gs0,0.499,-12.26,0
9,"Edvard Grieg, Alexandra Dariescu, Philharmonia Orchestra, Tianyi Lu",0.0851,4d1ZlOcZYFcjqNJ5VdautO,0.101,0.0399,45,essential,4,https://api.spotify.com/v1/tracks/4d1ZlOcZYFcjqNJ5VdautO,0.0388,4d1ZlOcZYFcjqNJ5VdautO,2024-07-16,spotify:track:4d1ZlOcZYFcjqNJ5VdautO,0.307,129.103,Classical Essentials,"Grieg: Piano Concerto in A Minor, Op. 16: I. Allegro molto moderato (Radio Edit)",769213,https://api.spotify.com/v1/audio-analysis/4d1ZlOcZYFcjqNJ5VdautO,0.872,audio_features,0WSePQx9rAMua5bZ3OZs5d,classical,"Piano Concerto in A Minor, Op. 16: I. Allegro molto moderato - Radio Edit",37i9dQZF1DWWEJlAGA9gs0,0.968,-20.471,0
4,"Gioachino Rossini, Arthur Fiedler, Boston Pops Orchestra",0.682,1ISbc05WTtcVh7q7QOXuu4,0.127,0.062,47,essential,4,https://api.spotify.com/v1/tracks/1ISbc05WTtcVh7q7QOXuu4,0.646,1ISbc05WTtcVh7q7QOXuu4,2014-06-13,spotify:track:1ISbc05WTtcVh7q7QOXuu4,0.323,169.325,Classical Essentials,"I don't like classical music, but I really like this!",184320,https://api.spotify.com/v1/audio-analysis/1ISbc05WTtcVh7q7QOXuu4,0.647,audio_features,72eREPpDWnlR5o2hUExugS,classical,William Tell Overture,37i9dQZF1DWWEJlAGA9gs0,0.763,-10.208,1
