track_name,valence,playlist_name,energy,id,speechiness,tempo,playlist_genre,track_id,track_album_release_date,mode,danceability,instrumentalness,time_signature,loudness,track_album_id,track_popularity,uri,duration_ms,track_href,track_artist,key,playlist_subgenre,acousticness,liveness,analysis_url,type,track_album_name,playlist_id
Amarillo By Morning,0.621,Classic Country,0.361,4TnUKixNWMfajncgdSwFoi,0.0346,121.059,country,4TnUKixNWMfajncgdSwFoi,1982-01-01,1,0.606,3.39e-05,4,-16.031,3NB2cmFq9nyhHSVz0Zv08t,70,spotify:track:4TnUKixNWMfajncgdSwFoi,173467,https://api.spotify.com/v1/tracks/4TnUKixNWMfajncgdSwFoi,George Strait,9,classic,0.264,0.38,https://api.spotify.com/v1/audio-analysis/4TnUKixNWMfajncgdSwFoi,audio_features,Strait From The Heart,5AgNIKN8i20irzvQ7CTO68
untitled2,0.432,Chill Spanish Vibes,0.146,2uFLVa1exzgGdupAT1k6Wm,0.042,105.081,latin,2uFLVa1exzgGdupAT1k6Wm,2019-06-09,0,0.697,0.00353,4,-18.848,5m3bOG1urtV8r7OLrFAoAc,19,spotify:track:2uFLVa1exzgGdupAT1k6Wm,155423,https://api.spotify.com/v1/tracks/2uFLVa1exzgGdupAT1k6Wm,mori,4,chill,0.957,0.137,https://api.spotify.com/v1/audio-analysis/2uFLVa1exzgGdupAT1k6Wm,audio_features,untitled2,0jqQDMmHIkdbkFQdQTlMEQ
Robbery,0.566,Arab X,0.692,6iaSML1PIYq936g62BDtBq,0.0504,79.899,arabic,6iaSML1PIYq936g62BDtBq,2019-03-08,1,0.623,0,4,-5.122,1btu0SV2DOI5HoFsvUd78F,78,spotify:track:6iaSML1PIYq936g62BDtBq,240051,https://api.spotify.com/v1/tracks/6iaSML1PIYq936g62BDtBq,Juice WRLD,2,modern,0.328,0.153,https://api.spotify.com/v1/audio-analysis/6iaSML1PIYq936g62BDtBq,audio_features,Death Race For Love (Bonus Track Version),3gZgGRvDn9tTUy8n7699pD
The Joker,0.796,Rock Classics,0.448,371VkfwKiXJxgH5ZPoQNHD,0.0396,83.293,rock,371VkfwKiXJxgH5ZPoQNHD,1973-01-01,1,0.596,5.3e-06,4,-9.616,6jIR8ITF5YSa3i9ILvA9E1,0,spotify:track:371VkfwKiXJxgH5ZPoQNHD,264504,https://api.spotify.com/v1/tracks/371VkfwKiXJxgH5ZPoQNHD,Steve Miller Band,5,classic,0.365,0.206,https://api.spotify.com/v1/audio-analysis/371VkfwKiXJxgH5ZPoQNHD,audio_features,The Joker,37i9dQZF1DWXRqgorJj26U
FUNKED UP - SLOWED,0.702,Top Gaming Tracks,0.927,4VL5XwfATZuAVTW471Wpro,0.0645,109.952,gaming,4VL5XwfATZuAVTW471Wpro,2024-01-19,0,0.755,0.925,4,0.254,4FRxgE6LA2UGJ5yz8diaI9,77,spotify:track:4VL5XwfATZuAVTW471Wpro,115348,https://api.spotify.com/v1/tracks/4VL5XwfATZuAVTW471Wpro,"xxanteria, isq",11,modern,0.00288,0.0567,https://api.spotify.com/v1/audio-analysis/4VL5XwfATZuAVTW471Wpro,audio_features,FUNKED UP,37i9dQZF1DWTyiBJ6yEqeu
Eyes Red,0.207,Gangster Rap,0.447,327maCobrzQZ20H1LwQ6Bk,0.34,125.103,hip-hop,327maCobrzQZ20H1LwQ6Bk,2023-11-17,0,0.709,0,4,-10.78,3ZuNOvosbywUYTfgZc09tU,47,spotify:track:327maCobrzQZ20H1LwQ6Bk,145920,https://api.spotify.com/v1/tracks/327maCobrzQZ20H1LwQ6Bk,"Lil Durk, Only The Family",10,gangster,0.025,0.189,https://api.spotify.com/v1/audio-analysis/327maCobrzQZ20H1LwQ6Bk,audio_features,Nightmares In the Trenches,6mODZNt8CYYEBrWAyS5vs4
Need Nothing,0.614,Soul Coffee,0.478,42f3EU5xToR3O4VlIRGfC9,0.0644,100.002,soul,42f3EU5xToR3O4VlIRGfC9,2024-03-01,0,0.808,0.0189,4,-9.341,3jE6ilwvImynefzlleCPAz,43,spotify:track:42f3EU5xToR3O4VlIRGfC9,147825,https://api.spotify.com/v1/tracks/42f3EU5xToR3O4VlIRGfC9,Katie Tupper,0,classic,0.631,0.233,https://api.spotify.com/v1/audio-analysis/42f3EU5xToR3O4VlIRGfC9,audio_features,Need Nothing,37i9dQZF1DXaXDsfv6nvZ5
Coucou,0.734,Afro Hits,0.697,2SihVopuJ1Bs5gPKuFfvkg,0.388,95.309,afrobeats,2SihVopuJ1Bs5gPKuFfvkg,2024-10-25,1,0.643,0,4,-8.665,6RWZB3cgbF3OEQvPd4K4rj,48,spotify:track:2SihVopuJ1Bs5gPKuFfvkg,131368,https://api.spotify.com/v1/tracks/2SihVopuJ1Bs5gPKuFfvkg,"LA MAIN SUR LE COEUR, Aya Nakamura",6,nigerian,0.181,0.14,https://api.spotify.com/v1/audio-analysis/2SihVopuJ1Bs5gPKuFfvkg,audio_features,Coucou,37i9dQZF1DWX0o6sD1a6P5
Outside The Gate,0.301,Soul Coffee,0.101,3fBZXCguP12EXiR2BPcBww,0.0621,92.17,soul,3fBZXCguP12EXiR2BPcBww,2024-10-16,1,0.627,0,4,-14.461,3cy7SvZTKU3a0LDKjaQMxz,45,spotify:track:3fBZXCguP12EXiR2BPcBww,206739,https://api.spotify.com/v1/tracks/3fBZXCguP12EXiR2BPcBww,Katie Tupper,0,classic,0.928,0.108,https://api.spotify.com/v1/audio-analysis/3fBZXCguP12EXiR2BPcBww,audio_features,Outside The Gate,37i9dQZF1DXaXDsfv6nvZ5
Love 119,0.419,K-Pop Daebak,0.75,0lUtQTBt2ydznYzuAeYFrZ,0.0468,98.524,k-pop,0lUtQTBt2ydznYzuAeYFrZ,2024-06-17,1,0.752,0,4,-4.666,52DnBWGBeFmhQP5fkpVPoO,58,spotify:track:0lUtQTBt2ydznYzuAeYFrZ,173489,https://api.spotify.com/v1/tracks/0lUtQTBt2ydznYzuAeYFrZ,RIIZE,8,modern,0.447,0.288,https://api.spotify.com/v1/audio-analysis/0lUtQTBt2ydznYzuAeYFrZ,audio_features,RIIZING - The 1st Mini Album,1bNuDsel3P60p11Z7vfHMR
