id,name,artist,popularity,genre,subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
3SAga35lAPYdjj3qyfEsCF,Feel It - From The Original Series “Invincible”,d4vd,78,rock,feel-good,0.565,0.593,8,-5.864,1,0.0883,0.0288,0,0.215,0.429,120.509,audio_features,spotify:track:3SAga35lAPYdjj3qyfEsCF,https://api.spotify.com/v1/tracks/3SAga35lAPYdjj3qyfEsCF,https://api.spotify.com/v1/audio-analysis/3SAga35lAPYdjj3qyfEsCF,157974,4
1qIwin7JMVuX70qN6wD8ww,It's Up (feat. Young Thug & 21 Savage),"Drake, Young Thug, 21 Savage",76,hip-hop,trap,0.783,0.723,1,-4.881,1,0.135,0.0264,0,0.159,0.294,139.942,audio_features,spotify:track:1qIwin7JMVuX70qN6wD8ww,https://api.spotify.com/v1/tracks/1qIwin7JMVuX70qN6wD8ww,https://api.spotify.com/v1/audio-analysis/1qIwin7JMVuX70qN6wD8ww,278001,4
2plbrEY59IikOBgBGLjaoe,Die With A Smile,"Lady Gaga, Bruno Mars",100,gaming,modern,0.521,0.592,6,-7.777,0,0.0304,0.308,0,0.122,0.535,157.969,audio_features,spotify:track:2plbrEY59IikOBgBGLjaoe,https://api.spotify.com/v1/tracks/2plbrEY59IikOBgBGLjaoe,https://api.spotify.com/v1/audio-analysis/2plbrEY59IikOBgBGLjaoe,251668,3
23L5CiUhw2jV1OIMwthR3S,In the Name of Love,"Martin Garrix, Bebe Rexha",77,electronic,modern,0.501,0.519,4,-5.88,0,0.0409,0.109,0,0.454,0.168,133.99,audio_features,spotify:track:23L5CiUhw2jV1OIMwthR3S,https://api.spotify.com/v1/tracks/23L5CiUhw2jV1OIMwthR3S,https://api.spotify.com/v1/audio-analysis/23L5CiUhw2jV1OIMwthR3S,195707,4
0l0vcZMU7AOeQmUIREoI2U,Qué Pasaría...,"Rauw Alejandro, Bad Bunny",80,latin,modern,0.833,0.563,4,-5.593,0,0.204,0.528,1.27e-05,0.139,0.343,105.008,audio_features,spotify:track:0l0vcZMU7AOeQmUIREoI2U,https://api.spotify.com/v1/tracks/0l0vcZMU7AOeQmUIREoI2U,https://api.spotify.com/v1/audio-analysis/0l0vcZMU7AOeQmUIREoI2U,182857,4
2262bWmqomIaJXwCRHr13j,Sailor Song,Gigi Perez,93,pop,global,0.494,0.413,11,-10.432,1,0.0254,0.682,6.72e-05,0.193,0.273,94.938,audio_features,spotify:track:2262bWmqomIaJXwCRHr13j,https://api.spotify.com/v1/tracks/2262bWmqomIaJXwCRHr13j,https://api.spotify.com/v1/audio-analysis/2262bWmqomIaJXwCRHr13j,211979,4
4rXLjWdF2ZZpXCVTfWcshS,fukumean,Gunna,82,gaming,modern,0.847,0.622,1,-6.747,0,0.0903,0.119,0,0.285,0.22,130.001,audio_features,spotify:track:4rXLjWdF2ZZpXCVTfWcshS,https://api.spotify.com/v1/tracks/4rXLjWdF2ZZpXCVTfWcshS,https://api.spotify.com/v1/audio-analysis/4rXLjWdF2ZZpXCVTfWcshS,125040,4
1njlnn8ZKHI77Pe9szIONR,SHEESH,BABYMONSTER,78,k-pop,modern,0.774,0.728,2,-5.079,1,0.169,0.113,0,0.0473,0.461,140.041,audio_features,spotify:track:1njlnn8ZKHI77Pe9szIONR,https://api.spotify.com/v1/tracks/1njlnn8ZKHI77Pe9szIONR,https://api.spotify.com/v1/audio-analysis/1njlnn8ZKHI77Pe9szIONR,170357,4
3HrHhTWonBqF4mDasi8xvC,BACKBONE,"Chase & Status, Stormzy",77,gaming,modern,0.777,0.934,2,-0.959,1,0.254,0.285,3.86e-05,0.275,0.637,88.009,audio_features,spotify:track:3HrHhTWonBqF4mDasi8xvC,https://api.spotify.com/v1/tracks/3HrHhTWonBqF4mDasi8xvC,https://api.spotify.com/v1/audio-analysis/3HrHhTWonBqF4mDasi8xvC,166449,4
78QR3Wp35dqAhFEc2qAGjE,Drip Too Hard (Lil Baby & Gunna),"Lil Baby, Gunna",79,arabic,modern,0.897,0.662,1,-6.903,0,0.292,0.0852,0,0.534,0.39,112.509,audio_features,spotify:track:78QR3Wp35dqAhFEc2qAGjE,https://api.spotify.com/v1/tracks/78QR3Wp35dqAhFEc2qAGjE,https://api.spotify.com/v1/audio-analysis/78QR3Wp35dqAhFEc2qAGjE,145543,4
